2 ROW COIL MAX,,1 ROW COIL MAX,,MAX,
X,Y,X,Y,X,Y
808.0526498145979,0.7834536123745659,850.9350149596075,0.7849711102124466,902.3414866090188,0.7830163357316449
835.7487228254861,0.7499694221445721,878.863828079831,0.749090343356604,924.9463697281997,0.7533247048457958
862.4556503716998,0.7126868810052127,904.1743149700335,0.7113544438792687,945.8929795683672,0.7239059240256247
886.5442516878925,0.6769952154882051,924.5972595641969,0.6810962901647822,967.3050696272051,0.6920690165694812
913.7748444801103,0.6341206083468398,944.4965389123561,0.6513361033092275,983.5968772806689,0.6658779962656272
935.4196746482835,0.598422154576643,964.8612984791855,0.6172488899209492,1002.7397512734885,0.6336685430094713
955.7378861932461,0.5648775165682525,985.2260580460154,0.5818798280554922,1020.2534445009621,0.603652018783496
975.2182333446019,0.5296125412516925,1004.7762272301718,0.545343186641537,1038.5817281111088,0.5715401870732002
998.2595041687862,0.4861269913233225,1020.2534445009621,0.5181177658517487,1061.7975540172945,0.5294535021769802
1017.8096733529426,0.44762595873654787,1037.7671377284357,0.48390610115500654,1078.9039520534313,0.49613966477701366
1031.25041466705,0.42014517032679466,1055.9325032620477,0.449369957955833,1092.3446933675389,0.46995737222725986
1047.542222320514,0.38721195998063684,1073.2018193747192,0.41478471305859244,1109.4510914036757,0.4356280444752426
1066.6850963133336,0.3464790467203831,1088.6790366455095,0.38359721515752443,1124.113718291793,0.406535854058495
1081.9586659884558,0.3150579197720623,1108.8401486166708,0.34030343338174207,1138.7763451799103,0.37674447356328633
1097.9653670079838,0.2783249847033935,1120.4480615697637,0.3161437008696337,1159.5483999380765,0.33375204174157025
1112.302157743032,0.24825302307637498,1135.5179836492177,0.2825778253262663,1175.4329124002036,0.3011007055278293
1124.113718291793,0.22113395158654703,1158.0821372492646,0.23290478261617453,1190.0955392883209,0.26991094487569844
1138.7763451799103,0.1853994554244185,1173.2335183669861,0.1982670418942729,1209.6457084724773,0.22871303627200212
1157.7155715770618,0.14117002608409346,1188.3848994847071,0.16446832926652488,1224.3083353605946,0.19729021226038412
1169.9344273171596,0.11463474436851451,1208.4238228984675,0.11809777173285385,1238.9709622487119,0.16540126152979195
1182.7642258442622,0.08134232229110827,1221.620187097773,0.08709038881639919,1258.5211314328683,0.12210578269071215
1197.019557541043,0.04991836690395879,1236.7715682154944,0.052732324125882135,1273.1837583209856,0.089517641881659
1210.867594046487,0.015463456467946113,1252.4117035628194,0.018026022046772172,1287.846385209103,0.05623031099414444
,,,,1305.1971603600418,0.01852224335488395
