2 ROW COIL MAX,,1 ROW COIL MAX,
X,Y,X,Y
1717.9607813213645,0.48534216726514245,1884.91835648351,0.48863053985197524
1737.7747953198336,0.46559765438303286,1918.8284360469174,0.4597288508132171
1759.3658020084843,0.44150864826801217,1940.4707604203218,0.4410282015973628
1776.1895170063685,0.4259972831610798,1967.1575727974155,0.4173983608034084
1789.9826600699641,0.41049040779034646,1987.1718739277194,0.3995911241937825
1815.2071204696983,0.3860565899352466,2015.4883258529449,0.3752375828219199
1836.8076902964528,0.36297171332112044,2037.8482896603891,0.3555175838994565
1865.6210213268155,0.3335118602781093,,
1883.6455162711084,0.31679657240942927,,
1901.6329708917601,0.29619205055841147,,
1921.4516991132384,0.2769425310922358,,
1941.2546683606583,0.2560383193499382,,
1962.880829683746,0.2356405498508818,,
1980.877039289986,0.2159553014865983,,
2001.898433147076,0.19569985662504857,,
2024.0943419938108,0.17148266854154792,,
2040.3126160652673,0.15604291472698884,,
