2 ROW COIL MAX,,1 ROW COIL MAX,,MAX,
X,Y,X,Y,X,Y
1017.7542206517472,0.7847892945949483,1132.6480105059368,0.7828223146856969,1249.9354209820885,0.7780088655122772
1049.4867911829042,0.762233694555493,1165.2012509646238,0.7537676863794811,1277.2226960724583,0.7471961529377962
1087.6479428130456,0.7325659780043232,1193.9246984281708,0.724999643484108,1301.6376264164737,0.7186513959026244
1118.1666057430648,0.7063520921616144,1223.4688158192484,0.6928820989695852,1324.6163843873114,0.6878183624864049
1150.1214410462612,0.6758995031341808,1248.9779727333034,0.6635607212752739,1346.158969984972,0.65878796523551
1175.2544575768652,0.6499395239234198,1276.5046098858697,0.6278313623419935,1366.2653832094552,0.6276708971500002
1203.9779050404127,0.6166756773425877,1307.382315909183,0.5867982221590422,1386.3717964339385,0.5957474068787582
1235.414122542184,0.576895032394809,1328.446177382451,0.5546194004816725,1409.3505544047762,0.5585721989809963
1265.3742739937452,0.5386091536583495,1349.0313147313268,0.5230302572179426,1426.5846228829046,0.5258522599432798
1287.7546268090923,0.5037208864158419,1367.988790057268,0.492105343676807,1445.2548637342106,0.4911784805804138
1314.56317777507,0.4643483205393769,1385.2228585353964,0.46240948783558744,1461.0527598391618,0.46129944627215247
1336.721265818378,0.4265711455506752,1410.4994923033182,0.4123638673399852,1476.8506559441125,0.4266221999587825
1358.2228179196618,0.38940106683996045,1428.0207952560822,0.37716318273921534,1491.2123796758865,0.39634830135972454
1373.4462450753422,0.3607706215109956,1444.536777547622,0.3418248649526827,1508.446448154015,0.35994906109960323
1389.2441411802934,0.32945682773061846,1459.6165874659841,0.31213648917590675,1521.3719995126112,0.32758681161971026
1415.095243897486,0.2781189370539926,1479.7230006904674,0.26408455519001395,1534.2975508712075,0.29600074349358496
1433.7654847487916,0.23664657065307593,1491.2123796758865,0.23723112383737455,1547.2231022298038,0.26399130371994994
1449.5633808537427,0.20195364390831672,1508.446448154015,0.1965981671021576,1561.5848259615773,0.2269669794078225
1465.361276958694,0.16299563982568332,1519.935827139434,0.16656944839319632,1574.5103773201736,0.19378150727999421
1482.5953454368223,0.12059863455917641,1531.4252061248526,0.13465907791752585,1585.9997563055927,0.16104791415638853
1494.084724422241,0.09327479026485963,1542.4358609858791,0.1055728473284625,1594.6167905446569,0.13455726592926542
1509.882620527192,0.05017715229546593,1554.4039640956908,0.07260238549747511,1608.9785142764308,0.09534552143833852
1522.8081718857884,0.014851301283005935,1565.8933430811094,0.04151523766973997,1620.4678932618494,0.061788705666797505
,,1577.3827220665285,0.011486518960778791,1631.9572722472685,0.025056602538934714
,,,,1640.5743064863327,0.0038580999056812004
